Age,Years Work Experience,Income,ZIP Code,Family Size,Monthly Credit Card Spending,Education Level,Value of Mortgage,Personal Loan
61,36,30000,94608,3,1300,Graduate,0,No
53,23,44000,93555,3,1000,Advanced/Professional,198000,No
43,18,22000,95670,2,300,Graduate,0,No
56,32,38000,93311,4,1300,Undergrad,166000,No
24,0,35000,94704,3,100,Graduate,0,No
43,17,69000,92717,4,2900,Undergrad,0,No
42,18,43000,92037,1,700,Undergrad,136000,No
33,7,32000,95136,1,600,Advanced/Professional,166000,No
43,17,49000,94542,1,2800,Undergrad,0,No
41,14,9000,91330,3,1000,Graduate,0,No
62,38,45000,94143,4,1300,Graduate,0,No
40,15,82000,91775,3,1000,Undergrad,309000,No
58,34,92000,92703,2,2800,Undergrad,103000,No
39,14,39000,92354,3,500,Advanced/Professional,0,No
65,40,81000,92024,3,1800,Graduate,0,No
54,29,35000,92831,1,1500,Graduate,0,No
58,33,61000,92833,2,2300,Advanced/Professional,193000,No
41,16,73000,92647,3,3000,Undergrad,0,No
32,7,112000,94304,1,4600,Undergrad,366000,No
54,29,12000,90057,2,200,Advanced/Professional,0,No
52,26,38000,91711,3,900,Advanced/Professional,0,No
58,32,73000,94523,2,700,Graduate,0,No
37,13,84000,92130,1,3600,Graduate,0,No
39,15,78000,92121,4,2400,Undergrad,118000,No
60,35,80000,91301,3,500,Undergrad,0,No
31,5,115000,92096,2,1300,Undergrad,101000,No
34,8,82000,92646,1,2700,Graduate,251000,No
38,14,74000,92182,2,0,Undergrad,0,No
41,16,70000,92131,3,500,Advanced/Professional,0,No
28,4,81000,94801,3,1500,Undergrad,276000,No
58,34,149000,93720,4,7200,Graduate,0,Yes
31,1,51000,90840,2,1750,Advanced/Professional,0,No
30,4,39000,90245,3,1100,Graduate,0,No
53,29,98000,95035,3,1800,Graduate,0,No
58,33,45000,93010,4,2100,Undergrad,0,No
59,32,49000,95035,4,2500,Graduate,0,No
49,25,128000,95054,2,400,Undergrad,0,No
59,34,42000,94928,3,1500,Undergrad,0,No
59,35,18000,93305,1,1200,Advanced/Professional,0,No
51,25,31000,90245,2,400,Advanced/Professional,161000,No
35,11,58000,95831,3,2000,Undergrad,149000,No
33,9,48000,91770,1,2100,Advanced/Professional,0,No
25,1,54000,94117,4,1600,Undergrad,0,No
49,23,70000,92093,2,1500,Graduate,0,No
59,35,124000,90007,1,7400,Undergrad,0,No
46,19,84000,94102,1,2670,Graduate,0,No
50,25,83000,94542,4,3600,Advanced/Professional,188000,No
52,28,163000,91423,2,400,Undergrad,116000,No
48,22,42000,93955,3,2200,Graduate,0,No
46,22,118000,94107,2,7500,Undergrad,0,No
26,0,132000,92834,3,6500,Advanced/Professional,0,Yes
57,32,24000,93117,1,1300,Undergrad,0,No
60,36,22000,94551,2,1000,Undergrad,0,No
54,29,58000,92612,4,1300,Advanced/Professional,0,No
24,0,60000,94596,4,1600,Undergrad,0,No
26,0,15000,92131,4,400,Undergrad,0,No
41,17,83000,94025,4,2670,Undergrad,0,No
32,6,79000,94720,2,1500,Advanced/Professional,0,No
61,35,41000,94545,4,1700,Graduate,0,No
29,0,134000,95819,4,6500,Advanced/Professional,0,Yes
61,35,80000,95053,2,2800,Undergrad,0,No
38,12,52000,90036,1,2000,Undergrad,0,No
28,4,70000,91125,4,2600,Undergrad,0,No
53,27,92000,95120,2,1100,Undergrad,0,No
27,1,43000,94706,1,1500,Undergrad,0,No
25,1,21000,95827,3,1000,Graduate,0,No
33,9,23000,94305,3,900,Advanced/Professional,0,No
50,26,13000,91320,4,1000,Undergrad,0,No
27,1,112000,90503,4,2100,Advanced/Professional,0,No
27,1,138000,90250,2,2000,Undergrad,0,No
52,28,11000,95817,3,400,Undergrad,0,No
38,13,171000,92717,2,7800,Undergrad,0,No
58,34,42000,90095,4,1500,Undergrad,0,No
42,17,168000,95503,2,7900,Graduate,0,Yes
45,20,85000,91711,4,1100,Graduate,0,No
52,25,44000,93111,3,1000,Graduate,135000,No
29,3,65000,94132,4,1800,Graduate,244000,No
53,29,24000,95818,4,200,Undergrad,0,No
62,37,11000,91942,1,100,Undergrad,0,No
51,27,38000,90401,2,1000,Advanced/Professional,164000,No
36,12,10000,93524,4,700,Graduate,81000,No
24,0,135000,95133,1,1500,Undergrad,0,No
29,3,148000,92173,3,4100,Undergrad,0,Yes
52,26,63000,92717,2,1500,Graduate,0,No
39,14,115000,91320,1,1000,Advanced/Professional,0,No
48,23,45000,95616,1,300,Undergrad,0,No
46,21,159000,94305,3,1900,Advanced/Professional,315000,Yes
64,40,169000,91320,2,2100,Undergrad,122000,No
55,29,112000,94043,2,1400,Undergrad,0,No
60,36,93000,92521,1,4300,Undergrad,0,No
51,25,29000,90404,1,300,Advanced/Professional,140000,No
50,23,85000,92122,1,2670,Graduate,0,No
48,24,21000,93118,4,600,Undergrad,0,No
53,29,144000,92697,2,6800,Undergrad,0,No
34,10,13000,94577,4,1000,Undergrad,95000,No
48,24,165000,93407,1,5000,Undergrad,0,No
55,31,9000,91345,4,700,Undergrad,89000,No
27,3,59000,94123,4,0,Undergrad,90000,No
36,11,158000,92152,1,5100,Advanced/Professional,0,Yes
32,6,29000,91355,1,1900,Advanced/Professional,0,No
35,9,20000,94609,2,1400,Advanced/Professional,0,No
30,3,68000,94306,4,2000,Graduate,0,No
58,34,65000,95747,4,2200,Undergrad,0,No
56,31,61000,96150,2,1900,Graduate,105000,No
38,12,91000,95616,4,1400,Graduate,100000,No
49,25,31000,91355,1,1000,Undergrad,0,No
34,10,71000,94115,4,100,Graduate,0,No
40,16,73000,94110,4,2670,Undergrad,0,No
64,39,172000,94707,4,3100,Undergrad,282000,Yes
51,26,20000,92131,2,0,Undergrad,0,No
44,18,55000,94720,1,200,Undergrad,0,No
46,22,69000,91604,2,1700,Undergrad,209000,No
57,33,155000,91326,1,7400,Undergrad,0,No
54,28,94000,90291,1,1900,Graduate,0,No
38,14,92000,95818,2,0,Undergrad,249000,No
27,3,125000,95521,2,600,Undergrad,0,No
39,14,74000,94305,3,3000,Undergrad,0,No
44,20,72000,92807,3,300,Advanced/Professional,0,No
56,30,61000,94707,1,2200,Advanced/Professional,0,No
32,6,25000,92130,2,300,Undergrad,0,No
45,19,83000,95051,2,1700,Graduate,0,No
26,2,104000,94306,3,2500,Undergrad,0,No
55,25,41000,95014,3,1000,Advanced/Professional,0,No
52,27,58000,94305,4,1800,Advanced/Professional,91000,No
39,13,93000,94720,1,1500,Advanced/Professional,0,No
24,-1,39000,94085,2,1700,Graduate,0,No
47,23,148000,94551,2,7500,Undergrad,0,No
47,22,53000,92677,4,1900,Advanced/Professional,98000,No
48,24,71000,93117,2,1700,Undergrad,145000,No
47,22,92000,94720,1,2800,Graduate,0,No
35,10,61000,94304,4,2100,Advanced/Professional,0,No
46,19,38000,94122,3,2500,Graduate,135000,No
62,37,58000,91320,4,1700,Undergrad,0,No
26,1,80000,95616,1,800,Graduate,150000,No
38,8,71000,94720,4,1800,Advanced/Professional,0,No
43,18,89000,93407,3,500,Advanced/Professional,0,No
62,38,83000,92521,1,1800,Advanced/Professional,0,No
57,32,28000,95831,3,200,Undergrad,0,No
28,3,52000,94112,4,1700,Graduate,0,No
51,26,70000,90089,1,1200,Undergrad,169000,No
48,22,71000,91711,1,1400,Advanced/Professional,0,No
41,16,75000,94005,1,3700,Advanced/Professional,280000,No
65,39,170000,90095,3,7900,Advanced/Professional,99000,Yes
41,17,78000,94025,4,800,Undergrad,78000,No
35,11,25000,92614,2,1000,Graduate,0,No
38,14,60000,94025,2,600,Advanced/Professional,0,No
53,29,120000,92626,4,2700,Graduate,111000,Yes
55,29,99000,92121,2,1400,Undergrad,264000,No
26,1,55000,90089,3,2600,Advanced/Professional,113000,No
30,6,29000,94305,3,1000,Graduate,117000,No
54,28,170000,92182,2,6200,Graduate,325000,Yes
65,40,53000,91711,3,2200,Undergrad,0,No
47,21,138000,94583,1,0,Undergrad,0,No
65,41,134000,91942,3,3900,Advanced/Professional,121000,Yes
66,40,42000,92103,2,700,Advanced/Professional,138000,No
26,0,99000,92697,4,2300,Advanced/Professional,0,No
66,41,18000,92691,3,500,Undergrad,0,No
35,9,24000,95747,4,300,Undergrad,0,No
56,30,55000,94107,1,1400,Undergrad,77000,No
51,27,58000,92407,1,0,Undergrad,0,No
42,16,111000,93106,2,1200,Advanced/Professional,251000,Yes
49,23,33000,90245,1,300,Advanced/Professional,0,No
27,1,74000,92121,4,1800,Graduate,112000,No
45,19,38000,90840,2,700,Undergrad,0,No
49,23,23000,94305,4,600,Advanced/Professional,98000,No
63,38,61000,94720,2,1500,Undergrad,0,No
47,22,81000,90504,1,2900,Undergrad,138000,No
64,39,129000,94002,1,2500,Undergrad,0,No
43,13,33000,95039,1,750,Advanced/Professional,0,No
60,36,63000,94063,4,2200,Undergrad,0,No
40,14,70000,94923,4,1400,Graduate,0,No
29,3,45000,95023,4,200,Undergrad,158000,No
41,16,65000,90095,3,500,Advanced/Professional,0,No
30,5,74000,95616,4,2200,Undergrad,0,No
49,24,50000,94706,4,1800,Advanced/Professional,0,No
30,5,22000,90058,4,500,Advanced/Professional,109000,No
29,2,30000,92126,4,1000,Advanced/Professional,0,No
50,26,21000,91125,4,1000,Undergrad,0,No
39,14,155000,94577,2,3900,Undergrad,0,No
33,8,64000,92121,4,2100,Advanced/Professional,164000,No
57,31,65000,94118,4,2600,Advanced/Professional,0,No
34,9,71000,91711,4,700,Advanced/Professional,0,No
61,36,40000,90029,3,500,Graduate,0,No
44,19,69000,92806,3,500,Advanced/Professional,0,No
40,13,69000,94305,3,2330,Graduate,0,No
51,25,45000,94806,3,600,Graduate,131000,No
37,12,62000,92110,3,700,Graduate,0,No
44,19,172000,94306,2,4300,Advanced/Professional,391000,Yes
42,15,24000,92121,3,1000,Graduate,0,No
51,25,80000,92373,1,4900,Undergrad,0,No
43,16,8000,90089,3,670,Graduate,88000,No
30,5,38000,94542,4,800,Undergrad,129000,No
45,19,93000,90095,4,2600,Advanced/Professional,0,No
35,9,55000,94536,1,2000,Undergrad,0,No
60,34,64000,94304,2,1700,Advanced/Professional,0,No
34,9,122000,90623,1,0,Undergrad,0,No
55,25,70000,93720,3,1400,Advanced/Professional,0,No
43,19,81000,92069,2,3200,Undergrad,0,No
41,15,159000,90057,1,5500,Advanced/Professional,0,Yes
34,9,70000,92843,4,1300,Undergrad,0,No
65,39,150000,92120,2,6900,Undergrad,196000,No
45,21,152000,94550,2,7500,Undergrad,0,No
49,25,195000,95605,4,3000,Undergrad,617000,Yes
48,23,22000,90740,1,100,Undergrad,0,No
60,35,22000,91207,1,1300,Undergrad,123000,No
55,29,79000,92373,3,800,Undergrad,0,No
42,18,33000,90401,1,1400,Advanced/Professional,0,No
32,8,128000,94720,2,4330,Undergrad,0,No
62,38,91000,95929,1,3800,Undergrad,0,No
57,32,39000,90277,4,900,Undergrad,0,No
52,26,121000,94550,1,7300,Undergrad,167000,No
36,6,21000,91741,1,670,Advanced/Professional,0,No
34,9,41000,93720,3,2300,Undergrad,0,No
63,37,45000,93437,2,700,Advanced/Professional,0,No
24,-2,51000,90630,3,300,Advanced/Professional,0,No
57,31,165000,95054,1,1600,Graduate,0,Yes
40,16,119000,91335,2,4200,Graduate,0,Yes
27,2,110000,95670,4,1800,Advanced/Professional,190000,No
65,39,20000,90034,3,700,Graduate,0,No
60,34,64000,90266,1,800,Graduate,248000,No
44,20,101000,92717,3,4400,Graduate,82000,Yes
63,39,101000,92007,1,3900,Undergrad,0,Yes
59,34,99000,90034,1,4400,Undergrad,0,Yes
56,30,158000,90089,4,6100,Undergrad,0,Yes
54,28,89000,95039,1,1900,Graduate,0,No
52,27,80000,95616,1,1300,Advanced/Professional,0,No
58,32,114000,91330,2,2000,Undergrad,402000,No
60,35,49000,94110,3,500,Graduate,0,No
28,4,191000,90064,1,6330,Undergrad,0,No
54,30,78000,92374,4,1000,Graduate,0,No
32,6,28000,94115,3,1000,Undergrad,0,No
59,33,42000,95630,1,800,Graduate,0,No
63,38,140000,92407,1,2500,Undergrad,0,No
48,23,45000,95053,1,1300,Graduate,0,No
56,32,122000,95827,2,300,Undergrad,360000,No
36,12,65000,95051,3,2600,Graduate,0,No
57,27,68000,94117,1,1400,Advanced/Professional,0,No
29,3,153000,93657,2,2000,Undergrad,392000,No
39,13,89000,92110,4,1400,Graduate,0,No
59,34,91000,93524,1,2600,Undergrad,0,No
31,6,55000,92038,4,2000,Graduate,185000,No
43,19,118000,91304,2,3300,Undergrad,0,No
35,5,22000,93407,1,670,Advanced/Professional,103000,No
54,24,63000,92606,3,1400,Advanced/Professional,138000,No
51,27,12000,92192,4,500,Graduate,78000,No
44,19,50000,90745,3,2700,Graduate,0,No
25,0,43000,94305,2,1600,Advanced/Professional,0,No
40,15,173000,95060,4,6600,Undergrad,0,Yes
26,2,60000,93407,2,3000,Undergrad,132000,Yes
39,14,113000,94301,1,1000,Advanced/Professional,0,No
28,4,155000,92182,4,5300,Graduate,0,Yes
52,28,91000,92692,4,1000,Graduate,0,No
53,29,55000,95818,4,1100,Graduate,0,No
44,20,173000,90277,2,1400,Undergrad,419000,No
43,19,71000,92101,3,300,Advanced/Professional,0,No
56,30,24000,94704,2,400,Advanced/Professional,88000,No
38,14,42000,94610,1,2000,Graduate,81000,No
30,6,141000,94539,2,4330,Undergrad,0,No
32,6,32000,93106,1,1900,Advanced/Professional,0,No
35,10,55000,94539,4,1300,Undergrad,0,No
43,19,153000,90254,2,7500,Undergrad,0,No
58,32,113000,94590,2,1400,Undergrad,270000,No
25,0,30000,92691,2,1700,Graduate,0,No
54,24,29000,92028,3,1000,Advanced/Professional,148000,No
57,32,174000,90089,1,6800,Graduate,466000,Yes
50,24,35000,92717,1,300,Advanced/Professional,0,No
32,8,98000,95054,2,2000,Graduate,175000,No
63,37,30000,92054,2,1000,Advanced/Professional,159000,No
31,6,58000,95051,2,2500,Undergrad,0,No
36,12,25000,92101,4,1000,Undergrad,147000,No
58,34,19000,92029,4,700,Undergrad,0,No
56,30,44000,93105,4,700,Graduate,174000,No
49,25,20000,90291,4,1000,Undergrad,111000,No
30,5,98000,91941,2,3100,Undergrad,220000,No
33,7,90000,92346,3,1600,Undergrad,0,No
45,21,61000,94304,3,700,Undergrad,0,No
30,5,40000,94402,4,2000,Graduate,0,No
47,23,38000,94618,2,2100,Advanced/Professional,0,No
25,0,28000,92093,2,1700,Graduate,0,No
63,33,34000,94305,1,1500,Advanced/Professional,0,No
55,29,73000,95616,2,2300,Advanced/Professional,0,No
65,41,133000,94904,4,2000,Undergrad,0,Yes
44,18,53000,94608,1,200,Undergrad,0,No
35,9,40000,93943,3,900,Undergrad,0,No
30,5,41000,95051,4,1700,Graduate,0,No
31,5,82000,95482,4,1800,Graduate,0,No
54,30,100000,95814,4,3400,Advanced/Professional,0,Yes
45,20,155000,90024,1,7000,Undergrad,0,No
45,19,45000,92521,1,200,Undergrad,0,No
58,32,9000,94080,3,300,Advanced/Professional,0,No
54,29,48000,91709,4,1800,Advanced/Professional,0,No
53,28,18000,90095,4,100,Advanced/Professional,109000,No
33,9,80000,91311,4,3400,Undergrad,0,No
60,35,64000,94509,2,2800,Undergrad,0,No
50,24,29000,93023,4,100,Undergrad,0,No
26,2,48000,90503,3,700,Graduate,0,No
54,30,23000,94608,2,400,Undergrad,0,No
28,3,84000,90024,4,200,Undergrad,0,No
36,10,179000,94542,3,6600,Undergrad,0,Yes
29,2,30000,95747,4,1500,Graduate,112000,No
54,28,93000,91604,1,4900,Undergrad,133000,No
55,30,39000,92647,2,1900,Graduate,0,No
61,36,60000,92866,3,500,Graduate,182000,No
36,11,133000,90245,1,3800,Undergrad,290000,No
45,19,125000,92354,1,2400,Undergrad,0,No
64,40,58000,93437,1,1800,Advanced/Professional,0,No
60,36,89000,91745,2,2800,Undergrad,0,No
49,22,82000,90019,1,2670,Graduate,125000,No
47,23,110000,94111,2,3300,Undergrad,0,No
60,36,54000,92182,4,2300,Advanced/Professional,0,No
45,20,89000,93311,4,1900,Advanced/Professional,0,No
32,7,42000,92407,3,2300,Undergrad,0,No
52,28,41000,94309,3,1900,Graduate,0,No
35,8,38000,93106,4,1000,Graduate,124000,No
40,15,85000,94304,2,400,Undergrad,0,No
53,29,83000,90073,4,1000,Graduate,0,No
27,0,33000,90089,4,1000,Advanced/Professional,0,No
58,33,50000,94501,4,2100,Undergrad,0,No
47,22,58000,93105,4,3600,Advanced/Professional,0,No
28,3,115000,92333,4,3100,Graduate,0,Yes
46,20,145000,91380,2,6300,Undergrad,0,No
43,19,161000,95616,2,7500,Undergrad,0,No
56,30,38000,92029,1,200,Undergrad,0,No
28,3,28000,90505,4,800,Undergrad,0,No
42,18,75000,92182,3,2330,Undergrad,0,No
32,7,35000,92521,3,1300,Undergrad,116000,No
62,38,24000,94720,2,1000,Undergrad,116000,No
37,13,78000,94998,4,100,Graduate,0,No
51,26,113000,94086,1,1300,Advanced/Professional,161000,No
39,13,75000,94305,3,2100,Undergrad,224000,No
43,17,91000,91311,1,5700,Undergrad,0,No
52,28,31000,91330,4,200,Undergrad,141000,No
30,6,45000,95819,1,1800,Graduate,0,No
52,26,80000,94709,3,800,Undergrad,0,No
61,35,50000,92122,3,1400,Advanced/Professional,112000,No
36,9,31000,95825,4,1000,Graduate,0,No
58,32,113000,93943,2,3800,Graduate,119000,Yes
47,23,29000,94304,4,600,Undergrad,0,No
64,39,59000,92626,2,1500,Undergrad,139000,No
52,27,43000,93555,1,1300,Graduate,0,No
58,28,122000,95136,1,3000,Advanced/Professional,115000,Yes
48,24,29000,90509,1,1000,Undergrad,0,No
64,40,91000,93106,2,0,Advanced/Professional,0,No
58,32,65000,94590,3,2200,Advanced/Professional,0,No
47,23,22000,93108,1,1000,Undergrad,0,No
49,23,71000,95134,1,1400,Advanced/Professional,0,No
31,4,60000,94588,4,2000,Graduate,0,No
61,37,60000,91706,3,2000,Advanced/Professional,0,No
51,25,69000,95747,1,300,Undergrad,0,No
28,-2,48000,94132,2,1750,Advanced/Professional,89000,No
39,13,21000,94022,3,200,Graduate,0,No
54,28,53000,92109,4,2800,Graduate,0,No
50,24,29000,94110,3,900,Advanced/Professional,0,No
30,4,60000,91107,4,2200,Graduate,0,No
64,39,42000,92068,3,500,Graduate,116000,No
29,3,69000,94303,3,300,Advanced/Professional,0,No
48,24,20000,95841,1,1000,Undergrad,0,No
35,10,200000,91107,2,3000,Undergrad,458000,No
60,36,141000,90277,2,2100,Undergrad,0,No
55,30,81000,92123,2,3700,Undergrad,0,No
29,4,183000,91423,3,8300,Advanced/Professional,0,Yes
48,22,149000,94928,2,5500,Graduate,0,Yes
43,19,83000,94305,4,3600,Advanced/Professional,0,Yes
66,42,35000,94305,1,1900,Graduate,172000,No
25,0,13000,91342,2,900,Advanced/Professional,0,No
45,20,39000,90232,1,2400,Undergrad,0,No
34,10,21000,92634,1,500,Advanced/Professional,0,No
48,23,10000,94609,2,700,Advanced/Professional,0,No
32,6,84000,91006,4,1800,Graduate,0,No
50,24,30000,91768,4,100,Undergrad,161000,No
43,19,31000,90007,4,300,Undergrad,156000,No
64,39,182000,93955,1,1200,Graduate,547000,Yes
60,34,114000,90028,2,6900,Undergrad,0,No
43,19,152000,92008,3,6100,Graduate,0,Yes
60,34,53000,92717,1,800,Graduate,0,No
64,39,24000,95112,4,400,Graduate,78000,No
44,20,150000,95060,2,3300,Undergrad,0,No
60,36,132000,92154,2,6000,Undergrad,470000,No
54,29,68000,94998,3,1600,Advanced/Professional,0,No
33,9,53000,94063,1,1200,Undergrad,0,No
56,32,173000,94022,1,4600,Graduate,88000,Yes
29,5,30000,90095,3,1000,Graduate,0,No
25,1,113000,95023,2,200,Undergrad,0,No
60,34,15000,95014,1,800,Graduate,0,No
55,30,84000,92173,2,3700,Undergrad,304000,No
39,13,88000,94117,4,1400,Graduate,0,No
37,13,43000,94122,3,2800,Undergrad,0,No
53,28,43000,91380,2,2100,Advanced/Professional,0,No
34,10,90000,94303,2,2700,Undergrad,0,No
42,18,34000,92115,4,300,Undergrad,104000,No
60,36,38000,94596,4,1300,Undergrad,0,No
50,24,173000,94720,1,1000,Undergrad,0,No
41,17,160000,92647,2,8000,Undergrad,0,No
25,0,44000,94545,4,600,Graduate,0,No
50,24,83000,94301,2,400,Advanced/Professional,0,No
48,22,94000,90623,4,2600,Advanced/Professional,0,No
32,8,43000,95023,1,2100,Advanced/Professional,0,No
50,25,42000,93108,3,1700,Graduate,0,No
59,33,34000,92177,2,300,Undergrad,0,No
50,26,39000,90640,3,1900,Graduate,0,No
44,19,70000,92833,1,100,Graduate,0,No
31,5,39000,94022,4,1800,Advanced/Professional,185000,No
40,10,44000,94720,3,2000,Advanced/Professional,0,No
36,12,69000,94305,3,3100,Graduate,0,Yes
51,25,44000,94608,3,900,Advanced/Professional,0,No
64,40,32000,91380,3,100,Advanced/Professional,0,No
47,22,15000,95521,2,700,Advanced/Professional,0,No
52,28,118000,90503,2,6800,Undergrad,112000,No
51,26,62000,95136,1,1300,Graduate,221000,No
31,5,82000,94143,4,2200,Graduate,0,No
39,14,54000,95035,3,3000,Undergrad,108000,No
30,6,48000,94607,1,2100,Advanced/Professional,0,No
27,1,74000,91730,3,300,Advanced/Professional,0,No
41,16,113000,92780,1,1000,Advanced/Professional,211000,No
53,27,81000,90009,3,1700,Graduate,0,No
54,27,43000,92834,3,1000,Graduate,169000,No
28,4,34000,92677,1,1800,Graduate,0,No
34,9,48000,95616,1,2500,Advanced/Professional,105000,No
61,37,54000,90024,4,1200,Graduate,129000,No
48,24,75000,92518,4,1400,Graduate,0,No
36,11,72000,91007,1,2800,Undergrad,224000,No
56,31,39000,93023,4,900,Undergrad,0,No
24,-1,75000,93014,4,200,Undergrad,0,No
64,38,79000,94024,2,2800,Undergrad,179000,No
26,2,205000,93106,1,6330,Undergrad,271000,No
33,8,65000,90027,2,100,Undergrad,89000,No
64,39,122000,90089,4,200,Undergrad,378000,Yes
39,15,82000,95207,1,800,Graduate,0,No
54,30,21000,91706,2,200,Undergrad,0,No
32,6,50000,90401,4,2100,Advanced/Professional,0,No
62,37,39000,94305,2,2800,Undergrad,113000,No
27,2,101000,92807,1,1900,Undergrad,0,No
53,28,41000,93117,2,600,Advanced/Professional,0,No
51,25,132000,94143,1,300,Undergrad,0,No
25,-1,43000,92173,3,2400,Graduate,176000,No
44,20,131000,90717,1,4900,Advanced/Professional,0,Yes
